timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,
7.65709,-1.1157,1.01993,9.2512,0.10365,-0.16854,1.61743,,,,
7.69674,2.27689,-1.66876,9.22965,-0.04596,-0.02825,1.36935,,,,
7.73637,0.67277,-0.4118,9.81383,0.05103,-0.08793,1.41039,,,,
7.77601,0.56743,0.7039,9.13149,0.12244,0.06955,1.1795,,,,
7.81565,1.33118,-0.67756,8.51857,0.05316,-0.06009,1.05692,,,,
7.85528,0.88107,-0.64165,10.35732,-0.05796,-0.02585,0.93182,,,,
7.89492,-0.05507,-1.83635,10.1562,-0.06089,-0.13723,1.17403,,,,
7.93456,-0.7829,-1.09654,9.88566,0.26993,-0.31509,1.28248,,,,
7.9742,1.2809,0.13647,10.99896,-0.09792,-0.20691,1.32152,,,,
8.01384,2.19069,-1.17076,9.88326,0.08993,0.10232,0.98032,,,,
8.05348,-0.07661,-0.54348,10.03649,0.06382,-0.08167,1.06079,,,,
8.09312,0.47405,-0.39744,10.39562,0.08274,-0.01319,1.18696,,,,
8.13276,1.42216,1.22583,8.80109,-0.27206,-0.16014,1.0869,,,,
8.1724,1.78607,1.55144,9.42837,0.05383,0.01212,0.86454,,,,
8.21204,1.79086,0.34477,9.2895,-0.11378,0.08767,0.5156,,,,
8.25168,0.61052,0.73981,9.34936,0.10792,0.01386,0.64724,,,,
8.29132,0.80685,0.21308,9.26077,0.10179,-0.02078,0.44073,,,,
8.33096,1.20189,-0.2466,9.11473,-0.05343,-0.03158,0.37398,,,,
8.3706,0.45011,-0.06943,9.4954,-0.01652,0.01865,0.40929,,,,
8.41023,0.57461,-0.00479,9.14106,-0.06635,-0.02705,0.46604,,,,
8.44988,1.22583,-1.05584,10.31661,-0.01945,0.03158,0.53639,,,,
8.48952,0.21069,-0.35913,9.48583,-0.00266,-0.02451,0.44686,,,,
8.52916,0.53151,-0.56024,9.05248,-0.04716,-0.01492,0.40636,,,,
8.56882,0.26576,-0.19632,9.39964,-0.08434,-0.01146,0.29138,,,,
8.60848,0.86191,-0.75417,10.0317,-0.01146,0.10219,0.3027,,,,
8.64812,1.02711,0.06704,8.96868,-0.0465,0.05782,0.17693,,,,
8.68776,0.50518,-0.80685,10.21606,-0.05249,0.03757,0.25301,,,,
8.7274,1.13485,0,9.9527,0.0004,0.05223,0.22796,,,,
8.76703,1.35033,0.23463,9.11951,0.0449,0.05462,-0.04343,,,,
8.80666,0.77572,-0.3304,9.35415,-0.06755,0.05289,-0.07181,,,,
8.8463,0.64643,-0.46208,9.68694,-0.00346,0.03691,0.00346,,,,
8.88594,0.80685,-0.39744,9.27514,-0.03011,0.07061,-0.01532,,,,
8.92559,0.57221,-0.18196,9.52413,-0.04996,0.01705,-0.02585,,,,
8.96528,0.70868,-0.42138,9.55526,0.00466,0.07075,-0.08087,,,,
9.00496,0.81882,-0.4525,9.56484,-0.03251,0.02172,-0.05955,,,,
9.04462,0.72784,-0.4118,9.42597,-0.00679,0.05769,-0.07261,,,,
9.08426,-0.07422,-0.79248,9.78271,-0.03078,-0.01066,-0.02385,,,,
9.1239,0.73741,-0.29688,9.37569,-0.03118,0.02318,0.0004,,,,
9.16354,0.4956,-0.59376,9.5816,-0.02118,0.01466,0.01652,,,,
9.20318,0.64643,-0.43814,9.73482,0.0016,0.01252,-0.06795,,,,
9.24282,0.88585,-0.16759,9.56005,-0.02252,0.03584,0.01053,,,,
9.28246,0.79009,-0.30885,9.57681,-0.01958,0.02451,-0.01026,,,,
9.3221,0.64165,-0.45729,9.62469,-0.00093,0.01372,-0.04756,,,,
9.36174,1.13006,-0.50757,9.38048,0.01785,0.03211,-0.00653,,,,
9.40138,0.75896,0.07422,9.65342,-0.03797,-0.01132,-0.22316,,,,
9.44103,0.73981,0.95768,9.663,-0.0401,-0.06062,-0.58209,,,,
9.48067,1.82678,-0.9098,10.3621,-0.01892,0.14709,-0.68388,,,,
9.52031,0.577,-0.15562,9.55765,0.0044,0.15122,-0.78566,,,,
9.55996,0.26815,0.47405,9.44752,-0.12657,-0.02864,-0.84615,,,,
9.5996,2.04465,-3.31358,9.78989,0.23675,0.36679,-0.38997,,,,
9.63924,-0.89064,1.87945,8.43956,-0.32162,-0.29497,-0.68761,,,,
9.67888,0.64404,-0.12929,9.58878,0.07807,-0.00173,-0.90277,,,,
