timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
4.60688,-0.25443,-0.89292,9.08706,-0.02574,-0.09778,0.02514,,,
4.63992,-0.11516,-1.33714,10.04626,-0.03031,-0.16343,0.04788,,,
4.67305,0.01946,-1.72215,10.76348,-0.01375,0.0174,-0.08124,,,
4.70613,-0.23378,-3.58652,9.56393,-0.01342,0.1032,-0.12733,,,
4.73921,-0.25159,-4.01957,9.56333,-0.00985,0.03293,-0.0641,,,
4.77224,-0.21314,-3.84995,9.5367,-0.00503,-0.01322,-0.09865,,,
4.80537,-0.15721,-3.66228,10.25663,-0.00553,0.02037,-0.08807,,,
4.83837,-0.19672,-3.16983,9.92114,0.00146,0.11175,-0.06582,,,
4.87144,-0.26313,-1.82703,9.17521,0.00651,0.04974,-0.04543,,,
4.90462,-0.22642,-1.11314,9.8899,0.00616,-0.0349,-0.02341,,,
4.93769,-0.18355,-0.17189,9.77289,0.03282,-0.01312,-0.0104,,,
4.97077,-0.19397,-0.62484,9.08086,0.06637,-0.05593,-0.03639,,,
5.0038,-0.09627,-1.8592,9.46715,-0.04871,-0.29583,-0.13333,,,
5.03694,0.03727,-4.063,12.14422,-0.01717,0.04497,-0.06069,,,
5.23204,-0.19045,-3.45813,9.17318,0.03276,0.27522,0.0833,,,
5.23243,-0.28926,-3.02625,8.53166,-0.01712,-0.03172,0.10881,,,
5.23282,-0.09642,-2.91649,9.85283,-0.03024,-0.14981,0.03414,,,
5.23324,-0.11995,-3.82865,10.95825,-0.00373,0.04833,0.07331,,,
5.23363,-0.2335,-2.69868,9.92368,0.03673,0.21877,0.2524,,,
5.23509,-0.20667,-0.86848,8.52394,0.01462,0.05627,0.12356,,,
5.26845,-0.22481,-1.45027,9.78603,-0.02956,-0.1403,-0.02097,,,
5.30148,0.00052,-0.31124,11.62216,0.0234,0.14413,-0.01696,,,
5.33438,-0.18525,0.99378,9.36364,0.03684,0.31361,-0.18033,,,
5.36774,-0.44314,0.87028,8.13973,-0.00061,-0.0052,-0.24552,,,
5.40077,-0.29286,1.14622,10.11191,-0.01378,-0.18293,-0.15622,,,
5.4339,-0.16744,1.94036,11.16192,-0.00193,0.0682,-0.21434,,,
5.46697,-0.41107,1.38754,10.03663,-0.00299,0.23231,-0.30212,,,
5.49971,-0.48782,1.39254,8.98114,0.0108,0.14289,-0.23742,,,
5.53303,-0.52879,2.1631,9.34336,0.00787,-0.03888,-0.2091,,,
5.56621,-0.37975,2.53729,10.21642,0.01089,-0.02986,-0.1904,,,
5.59919,-0.36309,3.08793,10.1031,0.00687,0.05666,-0.11355,,,
5.63208,-0.53055,4.1761,9.52969,0.01294,0.04544,0.02697,,,
5.66541,-0.51085,3.26274,9.58958,-0.03477,-0.04823,0.04276,,,
5.69842,0.05207,-0.19676,10.66948,-0.02195,0.04491,0.24414,,,
5.73133,-0.99267,3.0004,9.11856,0.02169,0.07877,0.31971,,,
5.76458,-0.54814,3.00439,9.82001,-0.02889,-0.02956,0.05157,,,
5.79744,-0.53677,1.69219,9.43033,0.00923,-0.05343,0.13196,,,
5.83083,-0.39731,2.4015,10.15345,-0.01249,-0.0771,0.19554,,,
5.86383,-0.35704,2.25542,9.90814,-0.00262,-0.00063,0.15255,,,
5.8969,-0.464,1.33151,9.30946,-0.00862,-0.07341,0.23518,,,
5.92974,-0.26036,2.45814,9.44296,0.01532,-0.1808,0.23184,,,
5.96306,-0.21094,1.73044,9.7812,-0.00505,-0.23873,0.13528,,,
5.99624,-0.124,1.3589,10.51301,-0.00237,-0.17262,0.20676,,,
6.02903,0.06831,2.10554,10.69873,0.00713,0.02159,0.09424,,,
6.06207,-0.15545,1.29422,9.57942,0.01497,0.1139,-0.00061,,,
6.09544,-0.31263,0.26029,8.79154,-0.01951,-0.10694,0.04567,,,
6.1285,-0.02914,-0.15434,10.64149,-0.03939,-0.15037,0.04909,,,
6.16154,0.01498,-0.20202,10.48717,0.02343,0.15128,-0.10208,,,
6.19467,-0.36742,-2.43128,8.1286,-0.02355,-0.05382,-0.22124,,,
6.22798,-0.19426,-3.60307,10.31606,-0.03601,-0.22015,-0.07406,,,
6.26078,0.06092,-3.21134,11.07112,0.00393,0.10403,-0.15858,,,
6.29395,-0.24318,-4.83736,9.05301,-0.00176,0.16204,-0.24837,,,
6.32699,-0.37735,-5.79443,8.88568,-0.00155,-0.07277,-0.09381,,,
6.36012,-0.04846,-4.00603,10.90364,0.00284,-0.01256,0.02897,,,
6.39287,-0.20135,-1.22569,9.26898,0.04921,0.10114,0.00906,,,
6.42618,-0.18991,-0.14268,9.65452,0.01284,-0.0205,0.00213,,,
6.45936,-0.16652,-0.40868,9.21707,0.02716,-0.06893,-0.01028,,,
6.49246,-0.12182,-1.62273,9.57768,-0.03612,-0.2063,-0.0912,,,
6.52547,0.03265,-3.96259,11.18105,-0.01034,-0.0215,-0.09184,,,
6.55827,-0.08768,-4.34342,9.46558,0.02591,0.13425,0.02192,,,
6.59169,-0.17026,-3.76494,9.26207,-0.00901,-0.01235,0.03013,,,
6.62471,-0.06256,-3.98967,10.21872,-0.00833,-0.00129,0.02212,,,
6.65752,-0.11827,-3.69891,9.96508,0.00965,0.10576,0.05201,,,
6.69059,-0.14867,-2.69586,9.93119,0.0004,0.10508,0.02953,,,
6.72391,-0.17943,-1.90686,9.90164,0.01397,0.16455,-0.00692,,,
6.75699,-0.30059,-0.83945,9.04044,0.02138,0.09432,-0.04889,,,
6.79007,-0.35882,0.27339,8.36799,0.03573,-0.18976,-0.11031,,,
6.82314,-0.1544,0.70185,9.35781,0.00641,-0.41802,-0.12396,,,
6.85633,0.02186,1.31423,11.38205,-0.00011,-0.25352,-0.1205,,,
6.88908,0.01041,2.32142,11.11261,0.02408,0.065,-0.18889,,,
6.9222,-0.15893,2.77618,9.75507,0.01805,0.18145,-0.28794,,,
6.95523,-0.12589,2.66616,9.14008,0.01008,0.05329,-0.28148,,,
6.98854,-0.10256,3.04109,9.47138,0.01776,-0.08377,-0.16166,,,
7.02162,-0.26008,4.72138,9.96748,0.02918,-0.0771,-0.08611,,,
7.0547,-0.33774,5.27931,9.47365,0.01456,-0.10765,-0.12057,,,
7.08779,0.0462,3.09586,9.43921,-0.01924,-0.2213,-0.03986,,,
7.12087,0.40355,1.41007,11.43624,-0.02585,-0.08516,0.19444,,,
7.15377,0.09339,2.78837,10.82894,0.00888,0.2733,0.35637,,,
7.18679,-0.32089,3.29626,8.99318,-0.01035,0.25353,0.34141,,,
7.21986,-0.46458,3.48347,9.01221,-0.024,0.01337,0.26566,,,
7.25327,-0.07187,3.20897,10.05017,-0.01475,-0.01977,0.18536,,,
7.28626,-0.04005,2.58641,10.06772,-0.02177,0.04155,0.11028,,,
7.3191,-0.14441,1.41746,9.98479,-0.02231,0.07947,0.17519,,,
7.35218,-0.10721,1.26138,9.91879,-0.01739,0.0985,0.29529,,,
7.38531,-0.04696,1.95471,9.80785,0.00327,0.11646,0.25797,,,
7.41835,-0.1716,1.57552,9.16289,-0.00919,0.03633,0.15091,,,
7.45165,-0.25091,0.57838,9.38263,-0.02722,-0.0923,0.1859,,,
7.48475,0.01001,0.60492,10.69453,-0.02186,-0.03361,0.18847,,,
7.51758,-0.02559,0.54415,9.75123,0.01187,0.12106,-0.01539,,,
7.55094,-0.34587,-1.34999,8.53991,-0.03234,-0.09683,-0.10721,,,
7.58427,-0.10742,-2.37359,10.60814,-0.0408,-0.17299,-0.07649,,,
7.61716,-0.08803,-3.35551,10.34066,0.00151,0.09085,-0.20273,,,
7.65023,-0.36967,-5.43977,9.17854,-0.01707,0.03844,-0.18346,,,
7.68326,-0.21609,-5.61126,9.84124,-0.00623,-0.02529,-0.10763,,,
7.71638,-0.22139,-5.44207,9.97202,-0.00374,0.02959,-0.0766,,,
7.74937,-0.2382,-3.6582,9.61203,0.02491,0.05209,-0.00049,,,
7.78245,-0.16019,-0.30025,9.67487,0.0184,-0.00919,0.00635,,,
7.81553,-0.13289,-0.11603,9.87637,0.00206,0.00714,-0.00075,,,
7.84862,-0.16833,-0.14606,9.77473,0.00617,0.00517,-0.0009,,,
7.88169,-0.1542,-0.20245,9.8325,0.01183,-0.00707,0.00051,,,
7.91454,-0.15388,-0.21403,9.74937,0.04268,0.00405,0.00138,,,
7.9479,-0.15119,-0.14634,9.73367,-0.00703,-0.03754,-0.00258,,,
7.98093,-0.11484,0.01953,9.96501,0.00491,-0.01245,-0.00189,,,
8.0141,-0.14226,-0.0591,9.8109,-0.00044,0.00446,-0.00191,,,
8.04713,-0.14149,-0.11683,9.81001,-0.00227,-0.00464,-0.00011,,,
8.07993,-0.13133,-0.12062,9.82912,0.00077,0.0029,0.00016,,,
8.11335,-0.14161,-0.11861,9.80267,-0.00366,-0.00277,0.00022,,,
8.14643,-0.13358,-0.12013,9.81517,-0.00187,-0.00315,0.00052,,,
8.1794,-0.13507,-0.12219,9.82231,0.00128,0.00301,-0.0002,,,
8.21258,-0.13641,-0.11765,9.80781,-0.00139,-0.00246,0.00051,,,
8.24557,-0.13528,-0.12336,9.81288,-0.0004,0.00018,0.00014,,,
8.27874,-0.13918,-0.11938,9.81194,-0.00056,-0.00069,0.0003,,,
8.31182,-0.12877,-0.12431,9.8234,-0.00116,-0.00212,0.00072,,,
8.34458,-0.13509,-0.12115,9.82891,0.0006,0.00492,0.00066,,,
8.37789,-0.13988,-0.11943,9.78799,-0.00204,0.00019,0.00091,,,
8.41106,-0.13417,-0.12466,9.81573,-0.00112,-0.00046,0.00111,,,
8.44404,-0.13592,-0.11925,9.81769,-0.00049,0.00196,0.0007,,,
8.47722,-0.13789,-0.12195,9.80752,-0.0011,-0.00094,0.00053,,,
8.50998,-0.13588,-0.12288,9.81232,0.00054,0.00021,0.0002,,,
8.54329,-0.13697,-0.12134,9.80716,0.00019,-0.00214,9.00E-05,,,
8.57646,-0.13441,-0.12103,9.81449,6.00E-05,-0.00119,-0.00016,,,
8.60959,-0.13642,-0.12303,9.80737,0.00077,-0.00172,-0.0002,,,
8.64263,-0.13568,-0.1225,9.8143,0.00046,-0.00359,-1.00E-05,,,
8.67571,-0.13047,-0.12154,9.81793,0.00077,-0.00158,-7.00E-05,,,
8.70879,-0.13373,-0.12203,9.82513,-4.00E-05,-0.00193,7.00E-05,,,
8.74177,-0.12899,-0.12279,9.82659,-0.00011,0.00072,0.00032,,,
8.77485,-0.13132,-0.12053,9.80896,-0.00041,0.00179,0.00045,,,
8.80802,-0.1357,-0.12393,9.80496,-0.00085,-0.00017,0.00034,,,
8.84101,-0.13201,-0.12196,9.82215,-0.00023,0.00061,0.00036,,,
8.8741,-0.13281,-0.12103,9.81054,-0.00072,0.00019,0.00032,,,
8.90717,-0.13467,-0.125,9.81197,0.00039,-0.00033,0.0002,,,
8.94026,-0.13351,-0.12159,9.81177,0.00018,-0.00151,0.00022,,,
8.97333,-0.13004,-0.1229,9.81919,0.00038,-0.00078,0.00032,,,
9.0065,-0.13354,-0.12279,9.81284,-0.00011,-9.00E-05,0.00047,,,
